,0
X11_Imiquimod_hydrochloride_0_5_uM_,"11_[('Imiquimod (hydrochloride)', 0.5, 'uM')]"
X11_Indacaterol_maleate_0_5_uM_,"11_[('Indacaterol (maleate)', 0.5, 'uM')]"
X11_Ivermectin_0_5_uM_,"11_[('Ivermectin', 0.5, 'uM')]"
X11_Ixazomib_citrate_0_5_uM_,"11_[('Ixazomib citrate', 0.5, 'uM')]"
X11_L_Eflornithine_monohydrochloride_0_5_uM_,"11_[('L-Eflornithine (monohydrochloride)', 0.5, 'uM')]"
X11_Lactate_calcium_0_5_uM_,"11_[('Lactate (calcium)', 0.5, 'uM')]"
X11_Loperamide_hydrochloride_0_5_uM_,"11_[('Loperamide (hydrochloride)', 0.5, 'uM')]"
X11_Lopinavir_0_5_uM_,"11_[('Lopinavir', 0.5, 'uM')]"
X11_Malotilate_0_5_uM_,"11_[('Malotilate', 0.5, 'uM')]"
X11_Meloxicam_0_5_uM_,"11_[('Meloxicam', 0.5, 'uM')]"
X11_Methotrexate_0_5_uM_,"11_[('Methotrexate', 0.5, 'uM')]"
X11_Methyl_aminolevulinate_hydrochloride_0_5_uM_,"11_[('Methyl aminolevulinate (hydrochloride)', 0.5, 'uM')]"
X11_Methylthiouracil_0_5_uM_,"11_[('Methylthiouracil', 0.5, 'uM')]"
X11_Nafamostat_mesylate_0_5_uM_,"11_[('Nafamostat (mesylate)', 0.5, 'uM')]"
X11_Neratinib_0_5_uM_,"11_[('Neratinib', 0.5, 'uM')]"
X11_Omeprazole_sodium_0_5_uM_,"11_[('Omeprazole (sodium)', 0.5, 'uM')]"
X11_Omeprazole_0_5_uM_,"11_[('Omeprazole', 0.5, 'uM')]"
X11_Osimertinib_mesylate_0_5_uM_,"11_[('Osimertinib (mesylate)', 0.5, 'uM')]"
X11_Ouabain_Octahydrate_0_5_uM_,"11_[('Ouabain (Octahydrate)', 0.5, 'uM')]"
X11_Oxaprozin_0_5_uM_,"11_[('Oxaprozin', 0.5, 'uM')]"
X11_Panobinostat_0_5_uM_,"11_[('Panobinostat', 0.5, 'uM')]"
X11_Pentoxifylline_0_5_uM_,"11_[('Pentoxifylline', 0.5, 'uM')]"
X11_Perindopril_erbumine_0_5_uM_,"11_[('Perindopril (erbumine)', 0.5, 'uM')]"
X11_Phenylephrine_hydrochloride_0_5_uM_,"11_[('Phenylephrine (hydrochloride)', 0.5, 'uM')]"
X11_Pimozide_0_5_uM_,"11_[('Pimozide', 0.5, 'uM')]"
X11_Pioglitazone_0_5_uM_,"11_[('Pioglitazone', 0.5, 'uM')]"
X11_Piroxicam_0_5_uM_,"11_[('Piroxicam', 0.5, 'uM')]"
X11_Ponatinib_0_5_uM_,"11_[('Ponatinib', 0.5, 'uM')]"
X11_Proglumide_0_5_uM_,"11_[('Proglumide', 0.5, 'uM')]"
X11_Ranolazine_0_5_uM_,"11_[('Ranolazine', 0.5, 'uM')]"
X11_Sunitinib_0_5_uM_,"11_[('Sunitinib', 0.5, 'uM')]"
X11_Talc_0_5_uM_,"11_[('Talc', 0.5, 'uM')]"
X11_Tazarotene_0_5_uM_,"11_[('Tazarotene', 0.5, 'uM')]"
X11_Tirabrutinib_hydrochloride_0_5_uM_,"11_[('Tirabrutinib (hydrochloride)', 0.5, 'uM')]"
X11_Trametinib_0_5_uM_,"11_[('Trametinib', 0.5, 'uM')]"
X11_Uridine_0_5_uM_,"11_[('Uridine', 0.5, 'uM')]"
X11_Valdecoxib_0_5_uM_,"11_[('Valdecoxib', 0.5, 'uM')]"
X11_Vandetanib_0_5_uM_,"11_[('Vandetanib', 0.5, 'uM')]"
X11_Vismodegib_0_5_uM_,"11_[('Vismodegib', 0.5, 'uM')]"
X11_Vitamin_K4_0_5_uM_,"11_[('Vitamin K4', 0.5, 'uM')]"
X11_Voriconazole_0_5_uM_,"11_[('Voriconazole', 0.5, 'uM')]"
X11_Vortioxetine_0_5_uM_,"11_[('Vortioxetine', 0.5, 'uM')]"
X11_Zileuton_0_5_uM_,"11_[('Zileuton', 0.5, 'uM')]"
X11_Oryzanol_0_5_uM_,"11_[('γ-Oryzanol', 0.5, 'uM')]"
X12_5_Azacytidine_5_0_uM_,"12_[('5-Azacytidine', 5.0, 'uM')]"
X12_5_Fluorouracil_5_0_uM_,"12_[('5-Fluorouracil', 5.0, 'uM')]"
X12_Abiraterone_acetate_5_0_uM_,"12_[('Abiraterone acetate', 5.0, 'uM')]"
X12_Acetazolamide_5_0_uM_,"12_[('Acetazolamide', 5.0, 'uM')]"
X12_Adagrasib_0_05_uM_,"12_[('Adagrasib', 0.05, 'uM')]"
X12_Allopurinol_5_0_uM_,"12_[('Allopurinol', 5.0, 'uM')]"
X12_Aprepitant_5_0_uM_,"12_[('Aprepitant', 5.0, 'uM')]"
X12_Artemether_5_0_uM_,"12_[('Artemether', 5.0, 'uM')]"
X12_Asciminib_5_0_uM_,"12_[('Asciminib', 5.0, 'uM')]"
X12_Aspirin_5_0_uM_,"12_[('Aspirin', 5.0, 'uM')]"
X12_Ataluren_5_0_uM_,"12_[('Ataluren', 5.0, 'uM')]"
X12_Atazanavir_sulfate_5_0_uM_,"12_[('Atazanavir (sulfate)', 5.0, 'uM')]"
X12_Auranofin_5_0_uM_,"12_[('Auranofin', 5.0, 'uM')]"
X12_Belinostat_5_0_uM_,"12_[('Belinostat', 5.0, 'uM')]"
X12_Benztropine_mesylate_5_0_uM_,"12_[('Benztropine (mesylate)', 5.0, 'uM')]"
X12_Bestatin_hydrochloride_5_0_uM_,"12_[('Bestatin (hydrochloride)', 5.0, 'uM')]"
X12_Bexarotene_5_0_uM_,"12_[('Bexarotene', 5.0, 'uM')]"
X12_Bicalutamide_5_0_uM_,"12_[('Bicalutamide', 5.0, 'uM')]"
X12_Binimetinib_5_0_uM_,"12_[('Binimetinib', 5.0, 'uM')]"
X12_Brimonidine_5_0_uM_,"12_[('Brimonidine', 5.0, 'uM')]"
X12_Budesonide_5_0_uM_,"12_[('Budesonide', 5.0, 'uM')]"
X12_Cabozantinib_S_malate_5_0_uM_,"12_[('Cabozantinib (S-malate)', 5.0, 'uM')]"
X12_Canagliflozin_hemihydrate_5_0_uM_,"12_[('Canagliflozin (hemihydrate)', 5.0, 'uM')]"
X12_Captopril_5_0_uM_,"12_[('Captopril', 5.0, 'uM')]"
X12_Carbamazepine_5_0_uM_,"12_[('Carbamazepine', 5.0, 'uM')]"
X12_Cinacalcet_5_0_uM_,"12_[('Cinacalcet', 5.0, 'uM')]"
X12_Citalopram_hydrobromide_5_0_uM_,"12_[('Citalopram (hydrobromide)', 5.0, 'uM')]"
X12_Clobetasol_propionate_5_0_uM_,"12_[('Clobetasol propionate', 5.0, 'uM')]"
X12_Clopidogrel_5_0_uM_,"12_[('Clopidogrel', 5.0, 'uM')]"
X12_Crizotinib_hydrochloride_5_0_uM_,"12_[('Crizotinib (hydrochloride)', 5.0, 'uM')]"
X12_Cyclosporin_A_5_0_uM_,"12_[('Cyclosporin A', 5.0, 'uM')]"
X12_Dapagliflozin_5_0_uM_,"12_[('Dapagliflozin', 5.0, 'uM')]"
X12_Darolutamide_5_0_uM_,"12_[('Darolutamide', 5.0, 'uM')]"
X12_Delamanid_5_0_uM_,"12_[('Delamanid', 5.0, 'uM')]"
X12_Dexamethasone_5_0_uM_,"12_[('Dexamethasone', 5.0, 'uM')]"
X12_Digitoxin_5_0_uM_,"12_[('Digitoxin', 5.0, 'uM')]"
X12_Dihydroartemisinin_5_0_uM_,"12_[('Dihydroartemisinin', 5.0, 'uM')]"
X12_Drospirenone_5_0_uM_,"12_[('Drospirenone', 5.0, 'uM')]"
X12_Econazole_5_0_uM_,"12_[('Econazole', 5.0, 'uM')]"
